"id","ip_src","ip_dst","id_pac","a_return_rec","flags_authenticated","flags_authoritative","flags_opcode","flags_rcode","flags_recavail","flags_recdesired","flags_response","flags_truncated","flags_z","qry_class","qry_name","qry_type","resp_class","resp_ttl","resp_type","response_to","time","count_add_rr","count_answers","count_auth_rr","count_labels","count_queries","date_added"
71,"192.168.212.129","192.168.212.2","0x00003225",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
72,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
73,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
74,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
75,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
76,"192.168.212.129","192.168.212.2","0x0000ae57",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
77,"192.168.212.2","192.168.212.129","0x0000ae57","","0","0","0","3","1","1","1","0","0","0x00000001","fabric.uk","28","0x00000001","5","6","171",NULL,"0","0","1","2","1","2023-03-04"
78,"192.168.212.2","192.168.212.129","0x00003225","","0","0","0","3","1","1","1","0","0","0x00000001","fabric.uk","1","0x00000001","5","6","166",NULL,"0","0","1","2","1","2023-03-04"
79,"192.168.212.129","192.168.212.2","0x000009d2",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
80,"192.168.212.129","192.168.212.2","0x0000fc67",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fabric.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
81,"192.168.212.2","192.168.212.129","0x000009d2","","0","1","0","3","0","0","1","0","0","0x00000001","fabric.uk.localdomain","1","","","","174",NULL,"0","0","0","3","1","2023-03-04"
82,"192.168.212.2","192.168.212.129","0x0000fc67","","0","1","0","3","0","0","1","0","0","0x00000001","fabric.uk.localdomain","28","","","","175",NULL,"0","0","0","3","1","2023-03-04"
83,"192.168.212.129","192.168.212.2","0x0000e9be",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fab.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
84,"192.168.212.129","192.168.212.2","0x00003bb0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","fab.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
85,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
86,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
87,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
